Table 1
ID,Level,Name,Parent_ID,Abbreviations
1008,4,Unix/Linux Cots Support Section,1006,
1009,4,Wintel Cots Support Section,1006,
1010,4,Rational Infrastructure Section,1006,
1011,3,Program and Project Management Office,1000,
1012,3,Standards Management Office,1000,
,,,,
1100,2,Division 3805,1,
1101,3,Branch 02,1100,
1102,4,Section 03,1101,
1103,3,Branch 03,1100,
,,,,
1200,2,Division 3808,1,
1201,3,Branch 05,1200,
1202,4,Section 02,1201,
1203,3,Branch 07,1200,
